job_title,job_date,job_desc,job_tasks,comp_name,comp_type,comp_size,eco_activity,qualifications,region,city,benefits,contract,positions,exper,gender,salary_sep,benefits_sep,occupied_positions,total_positions,experience (Years),job_date_gregorian,city_corrected
مندوب مبيعات,25/05/1444,['جمع البيانات والمواصفات المتعلقة بالمنتجات (السلع والخدمات)، وإعداد قاعدة بيانات بالعملاء الحاليين والمرتقبين والاتصال بالعملاء أو زيارتهم وتقديم عروض البيع ، وإتمام عملية البيع، ومتابعة العملاء وتحصيل الديون، وإعداد وتقديم تقارير العمل'],"['   بناء قاعدة بينات للعملاء الحاليين والمرتقبين مع بياناتهم وعنأوينهم وأرقام هواتفهم', '  الاتصال بالعملاء أو زيارتهم لترويج المنتجات (السلع والخدمات) وتقديم عروض البيع، واستعراض مواصفاتها وميزتها التنافسية', '  التحقق من الأسعار ومنح الخصومات ضمن الصلاحية المخولة، وإتمام عملية الييع وتحرير الفاتورة وتحصيل المبلغ', '  تحصيل ديون العملاء وتسجيلها وتوثيقها وتوريدها للدائرة المالية.', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها.', '  ']",شركـة مجموعة المساع المحدودة,خاص,صغيرة فئة أ,البيع بالتجزئة للمولدات الكهربائية ولوازمها,"['Language data', 'انجليزي', 'متوسط']",مكة المكرمة,JEDDAH...,"['Salary', '5000.0']",دوام كامل,0 / 2,2 Years,both,5000.0,غير محدد,0,2,2,2022-12-19,Jeddah
أخصائي تسويق,25/05/1444,['تحديد الأهداف وتطوير السياسات التسويقية للسلع والخدمات، والإشراف على تنفيذها وتقييمها، وإجراء اختبارات السوق وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال التسويق وعرضها وحفظها.'],"['   تحديد الأهداف العامة والفرعية للتسويق وتطوير السياسات والخطط والبرامج والتسهيلات التسويقية، وتحليل دورة حياة المنتج وتحديد أسباب نجاح أو فشل تسويق المنتجات، وتحليل أسعار المنافسين، وتطوير سياسات الأسعار.', '  تحديد برامج الترويج، واختيار قنوات التوزيع وتقييم فاعلية الدعاية والإعلان.', '  وضع برنامج زمني لتنفيذ السياسات التسويقية، ومتابعة إجراءات تنفيذها وتقييم النتائج.', '  إجراء اختبارات للمنتجات الجديدة قبل طرحها في الأسواق بشكلها النهائي واستخدام برامج حاسوبية خاصة في مجال اختبارات السوق وبحسب متطلبات العمل.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بالتسويق وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة مصدر الحياة للصناعات الغذائية,خاص,كبيرة,صناعة الخبز ومنتجاته بواسطة المخابز الآلية,"['Skill data', 'اجادة الحاسب الالي', 'متوسط', 'Language data', 'الانجليزية ', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5500.0']",دوام كامل,0 / 10,0 Years,both,5500.0,غير محدد,0,10,0,2022-12-19,Riyadh
بائع,25/05/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة متاجر رمانة التجارية,خاص,متوسطة فئة أ,بيع المشروبات بالتجزئة في المتاجر المتخصصة,"['Language data', 'الانجليزية', 'متوسط']",الرياض,ABA ASLAB...,"['Salary', '4500.0']",دوام كامل,0 / 10,0 Years,M,4500.0,غير محدد,0,10,0,2022-12-19,Abha
بائع,25/05/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['1- إستقبال الزبائن وعمل أوامر الطلبات ', '2- قبض المبالغ عن طريق كاش أو شبكة ', '3- منح الزبون فاتورة وتوجيهه إلى مكان إستلام الطلب ']",شركة مطعم بيت الشاورما لتقديم الوجبات,خاص,متوسطة فئة ج,غير معروف,"['Language data', 'العربية ', 'محترف']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 50,0 Years,M,4000.0,غير محدد,0,50,0,2022-12-19,Riyadh
بائع,25/05/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة أطياب غناتي التجارية,خاص,صغيرة فئة ب,غير معروف,['Language data'],الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 10,2 Years,F,4000.0,غير محدد,0,10,2,2022-12-19,Riyadh
أخصائي عمليات موارد بشرية,25/05/1444,['تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام الموظفين، والمساهمة في والإشراف على تطبيق سياسات وإجراءات الإجازات المرضية والطارئة، وتحديث المعلومات المتعلقة بالموظفين والتعامل مع شكاويهم واستفساراتهم بمهنية وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال عمليات الموارد البشرية وعرضها وحفظها.'],"['   تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام موظفي الفروع وإجازاتهم على اختلاف أنواعها وتعديل النماذج عند الحاجة بالإضافة إلى تطبيق نظام مراقبة الحضور والتأكد من التزامهم بأوقات الدوام الرسمي.', '  تطبيق سياسات وإجراءات الإجازات السنوية والمرضية والطارئة وغيرها من الإجازات المحددة في سياسة العطل والإجازات المعتمدة وتطبيق إجراءات الترقيات ,الإعارة وانتهاء الخدمة وتسجيل كافة وقوعات الموظفين وفقا للأنظمة والإجراءات المعتمدة.', '  التعامل مع شكأوى وملاحظات وطلبات واستفسارات الموظفين بطريقة مهنية ورفع المشاكل حال وجودها إلى مدير الإدارة بشكل فعال', '  تحديث المعلومات المتعلقة بالموظفين وتزويدها لفريق خدمات الموظفين من خلال تسجيل وتوثيق جميع المعلومات المتعلقة بموظفي الجهة كالترقيات والدورات التدريبية والأمور المتعلقة بالرواتب والامتيازات', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بعمليات الموارد البشرية وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,متوسطة فئة ب,غير معروف,['Language data'],الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,0 Years,F,5000.0,غير محدد,0,1,0,2022-12-19,Riyadh
أخصائي خدمة عملاء,25/05/1444,['وضع وتحديد مؤشرات ومعايير الأداء والجودة في خدمة العملاء، والمشاركة في وضع وتحديث إجراءات وأدلة خدمة العملاء وتطوير برامج لتعظيم جودة ومهنية أنظمة خدمة العملاء، وتحديد نقاط القوة والضعف في أنظمة خدمة العملاء ورضاهم وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال خدمة العملاء وعرضها وحفظها.'],"['   إجراء الدراسات والتحاليل المتخصصة بهدف وضع وتحديد مؤشرات الأداء الرئيسية ومعايير الأداء والجودة في خدمة العملاء بالتنسيق مع إدارة الجودة، وضمان المتابعة المستمرة لها لضمان سير العمل بالشكل المطلوب.', '  المشاركة في وضع وتحديث إجراءات وأدلة خدمة العملاء بأنواعهم وتفاصيل الاتصال بهم واستلام والرد على طلباتهم واستفساراتهم بفعالية وكفاءة ومهنية والتنسيق مع الإدارات المعنية في هذا الخصوص.', '  تطوير برامج متقدمة ومبادرات إبداعية وضمان تحقيق ما يفوق توقعات واحتياجات المتعاملين من ناحية جودة ومهنية أنظمة خدمة العملاء بهدف بناء نموذج متكامل لخدمة العملاء.', '  تحليل المعلومات والبيانات بهدف تحديد نقاط القوة والضعف في أنظمة خدمة العملاء وتحليل نتائج تقييم رضا العملاء وتحديد الأنماط التكرارية لمحتوى الشكأوى والثغرات ووضع الخطط لمعالجة وسد الثغرات.', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بخدمة العملاء وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة بروج للكابلات,خاص,صغيرة فئة أ,غير معروف,['Language data'],الرياض,AR RIYADH...,"['Salary', '6000.0']",دوام كامل,0 / 1,2 Years,both,6000.0,غير محدد,0,1,2,2022-12-19,Riyadh
بائع,25/05/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['- تحقيق هدف المبيعات الشهري.                  ', '- الترحيب بكل العملاء مباشرة عند دخولهم المحل.', '- بناء علاقة إيجابية مع العملاء وتفهم احتياجات العميل وتقديم المنتج المناسب لهم.', '- التعامل مع الشكاوي العملاء بشكل إيجابي ومحاولة حل جميع مشاكلهم ورفع الموضوع للمدير المباشر إذا تعذر الحل.', '- تقديم خدمة عملاء ذات مستوى عالي وذلك من خلال معاملة الزبون بطريقة مهنية وكذلك الاستماع للعميل وإعطائه الاهتمام الكافي وإتباع المبادئ الخمسة لخدمة العملاء والتواصل المستمر مع العميل عن طريق الهاتف والرسائل القصيرة والبريدية و جميع الطرق المتاحة و إطلاع العميل عن كل ما هو جديد من بضائع وخدمات.', '- المحافظة على نظافة مكان العمل.', '- المحافظة على المظهر اللائق والالتزام بالزي الرسمي الكامل.', '- إتباع تعليمات الإدارة بخصوص قوانين العمل التي تم التعميم عليها مسبقا مثل ( التعاميم الخاصة بأوقات الدوام، الراحات، أوقات و أماكن الطعام , الدخول والخروج, ,الاجازات وما الى ذلك).', '- المحافظة على ترتيب مخازن البضائع وكذلك المحافظة على نظافتها وترتيبها الأمر الذي يسهل عملية البيع', '- العمل مع باقي زملاء القسم في عملية الجر']",شركة المشروبات والاطعمة الغذائية,خاص,صغيرة فئة ب,غير معروف,"['Skill data', '-مهارة التواصل مع الآخرين.', 'متوسط', 'Language data']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 6,0 Years,both,4000.0,غير محدد,0,6,0,2022-12-19,Riyadh
معلم صفوف أولية,25/05/1444,['تخطيط وتحضير الدروس للصفوف الأولية وتدريسهم وتوجيههم.'],"['   تحضير الدروس الخاصةبالصفوف الأولية وفقاً للمناهج المعتمدة ووفقاً للرؤية الأكاديمية للمدرسة.', '  تدريس طلاب المرحلة الأولية وتيسير المناقشات المختلفة في الصف، وتقديم الواجبات المنزلية وإدارة سلوك الطلبة داخل الصف.', '  تعميم أهداف واضحة للتعلم، وإعداد الاختبارات والواجبات، وإدارتها، ووضع الدرجات لتقييم التقدم المحرز لدى الطلاب.', '  تقديم المشورة للطلاب وأولياء أمورهم؛ لتحسين أدائهم وسلوكهم، وتحديد الطلاب الذين يتطلبون المزيد من الاهتمام، وتحديد الطرق المطلوبة لتلبية احتياجاتهم.', '  تسجيل الحضور والدرجات وأداء التلاميذ، كلٍّ على حدةٍ، وإعداد تقارير بذلك، وحضور اجتماعات الموظفين، والتنسيق مع الزملاء المدرسين والمسؤولين ومساعدي المدرسين.', '  ']",مدارس  الأختيار الاول الاهلية,خاص,صغيرة فئة ب,غير معروف,غير معروف,الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,0 Years,F,4000.0,غير محدد,0,1,0,2022-12-19,Riyadh
مساعد طب بيطري,03/05/1444,['تجهيز الحيوان لإجراء عمليات التلقيح والتوليد والعمليات الجراحية باشراف الطبيب البيطري،وجمع العينات المخبرية وعينات من لحوم الحيوانات المذبوحة،وتنفيذ خطط وبرامج السيطرة على انتقال الامراض المشتركة، وإعداد وتقديم تقارير العمل.'],"['   تجهيز الحوان لإجراء عمليات التلقيح والتوليد والعمليات الجراحية باشراف الطبيب البيطري،وتجهيز الحقن لعمليات التلقيح،وتجهيز الحيوانات للعمليات الجراحية وتخديرها وتحضير العلاجات والادوية اللازمة', '  اعطاء اللقاحات والمطاعيم المختلفة للحيوانات بحسب برنامج الطبيب البيطري', '  جمع العينات المخبرية اللازمة لإجراء التحاليل المخبرية للحيوانات،وجمع عينات لحوم ابلحيوانات والطيور المذبوجة وتجهيزها لفحص سلامة اللحوم وصلاحيتها للاستهلاك البشري', '  جمع المعلومات المتعلقة بالامراض التي تنتقل من الحيوان إلى الانسان وجمع المعلومات لإعداد الاحصاءات بشان الامراض المشتركة والامراض السارية والمعدية ودرجة انتشارها وتنفيذ حملات تثقيف وتوعية مربي الحيوانات', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها', '  ']",شركة مجموعة زيد الحسين واخوانة للمقاولات,خاص,عملاقة,رعاية وصيانة المنتزهات والحدائق لأغراض الإسكان العام,غير معروف,الرياض,AR RIYADH...,"['Salary', '5500.0']",دوام كامل,0 / 1,0 Years,both,5500.0,غير محدد,0,1,0,2022-11-27,Riyadh
محاسب,03/05/1444,['إعداد وتنظيم مستندات الصرف ومتابعة تحصيل الإيرادات وتوثيقها وتحليلها، وإعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة وإعداد التقارير والوثائق المتعلقة بالنفقات والإيرادات وحفظها.'],"['   تدقيق المطالبات المالية والتأكد من اكتمال شروطها القانونية والمالية، وإعداد وتنظيم وتوثيق مستندات الصرف ومتابعة تدقيقها وإجازتها للصرف من الجهات الرقابية المعتمدة.', '  مراقبة النفقات الجارية والرأسمالية بحسب الموقف المالي الشهري لبنود الموازنة، وإعداد الموقف المالي والخلاصات الشهرية وإعداد وتنظيم الحسابات الختامية السنوية.', '  إعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة مع كشوف المطابقة الشهرية.', '  تطوير أساليب وإجراءات المحاسبة ومواكبة التطور العلمي والتقني في مجال المحاسبة.', '  إعداد الوثائق والتقارير المتخصصة في مجال محاسبة النفقات والإيرادات وحفظها في قاعدة البيانات الخاصة بذلك.', '  ']",مؤسسة فراج فهد بن فراج المخاريم الدوسري للمقاولات,خاص,صغيرة فئة أ,الإنشاءات العامة للمباني السكنية,"['Language data', 'الإنجليزية', 'متوسط']",الرياض,WADI AD D...,"['Salary', '6000.0']",دوام كامل,0 / 2,0 Years,F,6000.0,غير محدد,0,2,0,2022-11-27,Wadi Ad-Dawasir
صيدلي,02/05/1444,['دراسة التركيبات الدوائية للعقاقير والعلاجات وتحضيرها، وتحديد احتياجات الصيدلية من الادوية والتجهيزات وتوفيرها وتنظيم إجراءات تخزينها، وتجهيز وتنظيم إجراءات صرف الأدوية، وإعداد الوثائق والتقارير الطبية المتعلقة بأعمال الصيدلة وحفظها'],"['   دراسة مواصفات وتركيبات الادوية والعقاقير والمواد الصيدلانية وتحضيرها وصرفها بحسب الوصفة الطبية ودراسة وتحديد الآثار الجانبية لاستخدامها وتأثيراتها في الإنسان', '  دراسة احتياجات الصيدلية وتحديد أنواع وكميات الأدوية والعلاجات ومواصفاتها وإعداد وتدقيق طلبيات الشراء ومتابعة توفيرها واستلامها وتخزينها بحسب سجلات موجودات الصيدلية وفق الأسس الصيدلانية', '  دراسة الوصفات الطبية وتجهيز الدواء قبل صرفه للمستهلك وإرشاد المريض بشأن طريقة الاستعمال والى الآثار الجانبية المحتملة', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات في مجال الصيدلة', '  إعداد الوثائق والتقارير الطبية المتعلقة بالصيدلة وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المنظمة، وضمان تطبيق مبادئ وقواعد السلامة العامة أثناء القيام بمختلف أعمال الصيدلة', '  ']",شركة مجمع الرحمة الطبي,خاص,متوسطة فئة أ,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,"['Professional certificate \\ License data', 'حاصل على الرخصة المهنية', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,2 Years,F,4000.0,غير محدد,0,1,2,2022-11-26,Riyadh
بائع مأكولات ومشروبات,30/04/1444,['بيع المأكولات و المشروبات للزبائن، وتوفير المعلومات المتعلقة بالمأكولات و المشروبات و أسعارها، وتولي أمور الدفع وتلقي المدفوعات من الزبائن.'],"['   بيع المأكولات و المشروبات للزبائن.', '  توفير المعلومات المتعلقة بالمأكولات و المشروبات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من الزبائن، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",مقهى الفصل الخامس لتقديم المشروبات,خاص,صغيرة فئة ب,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق,"['Language data', 'الانجليزية', 'مبتدئ']",عسير,TANUMAH...,"['Salary', '4500.0']",دوام كامل,0 / 2,0 Years,M,4500.0,غير محدد,0,2,0,2022-11-24,Tanumah
خطاط,30/04/1444,['إتقان أنواع الخط العربي، والكتابة والتخطيط اليدوي على اللوحات بمختلف أنواعها وتخطيط الوحات باستخدام أجهزة الحاسوب والنسخ'],"['   إتقان أنواع الخط العربي، مثل:الرقعة والنسخ والثلث والكوفي وغيرها بحسب القواعد والأسس المعتمدة', '  تحضير الألوان وخلطها وتحضير الأدوات لاستخدامها لأغراض الكتابة بالخط العربي اليدوي', '  الكتابة والتخطيط اليدوي بجميع أنواع الخط العربي على الورق والقماش واللوحات البلاستيكية والمعدنية', '  تجهيز وتشغيل واستخدام أجهزة الحاسوب والنسخ في التخطيط وإنتاج اللوحات بأنواعها المختلفة', '  تجهيز لوحات الدعاية والإعلان لأغراض التعليق والتثبيت', '  ']",مؤسسة دكان مخمل التجارية,خاص,صغيرة فئة ب,البيع بالتجزئة للزهور والورود,غير معروف,القصيم,BURAYDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,0 Years,both,4000.0,غير محدد,0,1,0,2022-11-24,Buraidah
منسق زهور,30/04/1444,['إختيار و تجميع الزهور المناسبة و قصّها و تنسيق الزهور داخل الباقة بالإضافة إلى عرض باقات الزهور بشكل جيّد لجذب الزبائن.'],"['   القيام بعملية إختيار و تجميع الزهور المناسبة و قصّها كي يتم تنسيقها فيما بعد.', '  القيام بعملية تنسيق الزهور داخل الباقة حسب الكميات و المواصفات المطلوبة.', '  القيام بعرض باقات الزهور بشكل جيّد لجذب الزبائن.', '  التقيد بإجراءات و تعليمات السلامة و الصحة المهنية.', '  ', '  ']",مؤسسة دكان مخمل التجارية,خاص,صغيرة فئة ب,البيع بالتجزئة للزهور والورود,غير معروف,القصيم,BURAYDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,0 Years,both,4000.0,غير محدد,0,1,0,2022-11-24,Buraidah
مدير فرع,30/04/1444,['مدير مشروع حاصل على بكالوريوس هندسة مدنية وخبرة في مجال العمل لا تقل عن 3 سنوات مشروع تنظيف الأودية من المخلفات والحشائش بمدينة الرياض'],"['   المشاركة في وضع وإعداد الخطط والأهداف الخاصة بالمشروع بما يتوافق مع توجهات وأولويات واختصاصات الجهة التي يتبعها، والتأكد من وجود الأطر والمقاييس الدقيقة لمعرفة مستوى تحقيق هذه الخطط والأهداف.', '  تطوير الخطط والبرامج التفصيلية للمشروع ومتابعة عملية تنفيذها بما يضمن أفضل المخرجات ويحقق أعلى مستويات الكفاءة والإنتاجية.', '  الإشراف العام على سير العمليات والإجراءات في المشروع وضمان الالتزام بكافة الأنظمة واللوائح والسياسات المعتمدة.', '  الإشراف العام على أداء موظفي المشروع، ومتابعة برامج الموارد البشرية الهادفة إلى تقييم أدائهم وتطويرهم وتحفيزهم وتشجيعهم وإبقائهم.', '  بناء علاقات عمل مع شركاء العمل الخارجيين والقيام بتنسيق المشروع والجهود المشتركة والتواصل معهم بشكل مستمر، وضمان وجود قنوات تواصل داخلية فعالة تحقق مستوىً عاليًا من التكامل في المشروع.', '  ']",شركة ماس الدولية للمقاولات شركة شخص واحد,خاص,متوسطة فئة أ,إنشاء الطرق والشوارع والارصفة ومستلزمات الطرق,غير معروف,الرياض,AR RIYADH...,"['Salary', '5500.0']",دوام كامل,0 / 1,2 Years,M,5500.0,غير محدد,0,1,2,2022-11-24,Riyadh
فني تدفئة وتهوية وتكييف,30/04/1444,['تركيب معدات التكييف والتدفئة والتهوية وصيانتها وتصليحها، مثل وحدات ومضخات التدفئة ومكيفات الهواء'],"['   المساهمة في مجمل عملية تصميم نظم التهوية وتكييف الهواء والتدفئة، وتقديم المشورة بشأن المواد ومعايير الجودة', '  تقديم الدعم للمشروعات الهندسية، ومباشرة تنفيذ العمليات وتركيب النظم، ووضع جداول زمنية وتقديرات التكلفة', '  تقديم الدعم في أعمال الصيانة وتصليح النظم', '  مراقبة الجوانب الفنية المتصلة في إنتاج وتركيب واستعمال وصيانة منظومات وأجهزة ومعدات التدفئة والتهوية  والتكيف  للتأكد من دقة الأداء ومطابقة المواصفات', '  اتباع سياسات وإجراءات الصحة والسلامة والبيئة', '  ']",مؤسسة مرميس للمقاولات,خاص,صغيرة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,"['Professional certificate \\ License data', 'دبلوم', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '4000.0']",دوام كامل,0 / 1,0 Years,M,4000.0,غير محدد,0,1,0,2022-11-24,Riyadh
مهندس ميكانيكي,30/04/1444,['إعداد التصاميم والمخططات لمشاريع وأعمال الهندسة الميكانيكية، وإعداد برامج تجميع وتركيب وتشغيل التجهيزات الميكانيكية في المشاريع الصناعية وإعداد برامج تشغيل المعدات الصناعية وبرامج الصيانة الوقائية، وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال'],"['   إعداد التصاميم والمخططات لمشاريع أعمال الهندسة الميكانيكية، مثل المولدات والتوربينات ووحدات التكييف والمراجل وشبكات التوزيع لأنظمة التدفئة والتكييف والتبريد', '  إعداد خطط وبرامج تجميع وتركيب التجهيزات الميكانيكية للمشاريع الصناعية، وتحديد أنظمة الضبط والتحكم في المشاريع الصناعية', '  إعداد برامج تشغيل المعدات وبرامج الصيانة الوقائية بحسب تعليمات الشركات الصانعة ومتابعة إجراءات تنفيذها', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة بالأعمال والمشروعات الهندسية ونسب تقدمها وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة زهرة الصحراء للخدمات اللوجستية,خاص,صغيرة فئة أ,الخدمات اللوجستية,"['Language data', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'بكالوريوس', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '7000.0']",دوام كامل,0 / 3,0 Years,M,7000.0,غير محدد,0,3,0,2022-11-24,Riyadh
مدير رقابة ادارية,29/04/1444,['المشاركة في تطوير الأهداف الرئيسية والمبادرات والخطط التشغيلية والبرامج المتعلقة بإدارة الرقابة الإدارية، والإشراف المباشر على أنشطة الرقابة الإدارية بما يتوافق مع الخطط التشغيلية، وضمان توافر كافة الموارد التقنية والبشرية التي تضمن سير العمليات اليومية بأكبر كفاءة وفعالية ممكنة.'],"['   المشاركة في تطوير الأهداف الرئيسية للرقابة الإدارية، وتطوير وتنفيذ الخطط والبرامج والمشروعات التي تساهم في تحقيق هذه الأهداف، والتأكد من وجود الأطر والمقاييس الدقيقة لمعرفة مستوى تحقيق هذه الخطط والأهداف الإستراتيجية.', '  مراجعة وتطوير سياسات وأدلة الرقابة الإدارية ومتابعة تنفيذها، والإشراف على تصميم العمليات والإجراءات ومراجعتها وضمان سلامتها ومراجعة مستوى كفاءتها وفعاليتها باستمرار.', '  الإشراف على عمليات مراجعة وتدقيق صحة القرارات المتخذة وإجراءات العمل المعمول بها والتأكد من مطابقتها للأنظمة واللوائح المعتمدة.', '  التنسيق والتواصل مع الوحدات التنظيمية الأخرى بهدف الحصول على كافة المعلومات التقارير والوثائق وطلب الاستيضاحات حولها وتنسيق ومتابعة الزيارات الميدانية والجولات التفتيشية في حال تطلب الأمر.', '  الإشراف على عمليات إعداد وتحضير ملخصات وتقارير نتائج عمليات الرقابة الإدارية وعرضها على الإدارة العليا، وإحاطتهم بمختلف التحديات والمستجدات واقتراح الحلول الوقائية والتصحيحية المناسبة، واستشارتهم في مختلف القضايا والمبادرات المستقبلية المهمة.', '  ']",محل عبدالرحمن عوظه عبدالله الشهراني التجارية,خاص,صغيرة فئة أ,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة,غير معروف,عسير,BISHAH...,"['Salary', '6000.0']",دوام كامل,0 / 1,0 Years,M,6000.0,غير محدد,0,1,0,2022-11-23,Bisha
موظف صندوق محاسبة,29/04/1444,['عد المبالغ المالية المتوافرة في آلة تسجيل النقود وتسجيلها واستلام المدفوعات نقدا أو عن طريق بطاقة الائتمان وتحديث قوائم الأسعار، وتسوية النقدية الواردة مع إجمال المبيعات في نهاية الوردية، وتلبية رغبات العملاء بالإضافة أو الحذف على قوائم الشراء.'],"['   عدّ المبالغ المالية وتسجيلها في آلة تسجيل النقود في بداية وردية العمل، وضمان توافر كمية كافية من العملات الصغيرة.', '  استلام المدفوعات نقداً أو عن طريق بطاقة الائتمان أو الطرق الأخرى المعتمدة، ودفع المبالغ المتبقية وتحرير الإيصالات المناسبة.', '  تحديث قوائم الأسعار بشكل مستمر، وحساب أسعار السلع أو الخدمات وإعداد جداول الفواتير، وتطبيق الخصومات عند اللزوم.', '  تسوية النقدية الواردة مع إجمالي المبيعات في نهاية الوردية، والإبلاغ عن أية اختلافات أو تسويتها.', '  التعامل بوجه رحب مع العملاء وتلبية رغباتهم بالإضافة أو الحذف على قوائم الشراء.', '  ']",مركز مناهل ديرتي لتجارة الجملة و التجزئة,خاص,صغيرة فئة ب,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة,"['Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",مكة المكرمة,MAKKAH AL...,"['Salary', '4000.0']",دوام كامل,0 / 2,0 Years,M,4000.0,غير محدد,0,2,0,2022-11-23,Makkah
